Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,def_cluster
Marin Šverko,CB,Croatia,0.67,0.66,0.37,0.55,0.6,0.66,0.76,0.64,0.68,0.59,0.62,0.61,0.61,0.83,0.7,0.78,0.7,0.67,0.65,0.64,0.64,0.56,CB,DEF,3
Caleb Taylor,CB,England,0.67,0.56,0.35,0.41,0.45,0.68,0.71,0.52,0.59,0.38,0.57,0.48,0.64,0.76,0.69,0.8,0.69,0.66,0.69,0.68,0.66,0.52,CB,DEF,5
Bjarne Thoelke,CB,Germany,0.67,0.34,0.34,0.45,0.53,0.68,0.68,0.34,0.34,0.38,0.41,0.55,0.67,0.85,0.36,0.7,0.7,0.65,0.68,0.65,0.69,0.57,CB,DEF,3
Mads Døhr Thychosen,RB,Denmark,0.67,0.7,0.55,0.58,0.62,0.65,0.74,0.67,0.72,0.64,0.68,0.62,0.62,0.77,0.74,0.77,0.68,0.67,0.59,0.66,0.67,0.64,RB,DEF,2
Valentin Țicu,LB,Romania,0.67,0.79,0.53,0.64,0.62,0.59,0.73,0.8,0.78,0.72,0.82,0.6,0.65,0.66,0.85,0.73,0.63,0.63,0.58,0.54,0.55,0.69,LB,DEF,2
Mickaël Tirpan,RB,Turkey,0.67,0.72,0.53,0.61,0.62,0.65,0.68,0.73,0.72,0.71,0.69,0.62,0.62,0.63,0.73,0.72,0.63,0.62,0.65,0.68,0.63,0.58,RB,DEF,2
Kristers Tobers,CB,Latvia,0.67,0.54,0.42,0.54,0.5,0.67,0.73,0.55,0.54,0.44,0.46,0.58,0.61,0.75,0.71,0.7,0.67,0.72,0.69,0.67,0.6,0.51,CB,DEF,3
David Torres,CB,Spain,0.67,0.59,0.27,0.54,0.47,0.68,0.66,0.54,0.63,0.47,0.71,0.64,0.6,0.71,0.6,0.69,0.7,0.66,0.67,0.69,0.64,0.47,CB,DEF,5
Anders Trondsen,LB,Norway,0.67,0.73,0.65,0.66,0.67,0.62,0.71,0.74,0.73,0.79,0.74,0.67,0.63,0.7,0.73,0.69,0.65,0.63,0.61,0.63,0.52,0.77,LB,DEF,2
Derrick Katuku Tshimanga,LB,Belgium,0.67,0.84,0.56,0.59,0.67,0.62,0.64,0.82,0.85,0.77,0.72,0.63,0.66,0.61,0.65,0.74,0.65,0.66,0.61,0.57,0.58,0.64,LB,DEF,2
Maximilian Ullmann,LB,Austria,0.67,0.82,0.59,0.61,0.66,0.6,0.71,0.83,0.82,0.79,0.81,0.63,0.61,0.65,0.89,0.78,0.62,0.58,0.58,0.58,0.63,0.66,LB,DEF,2
Finn van Breemen,CB,Holland,0.67,0.59,0.31,0.5,0.55,0.66,0.7,0.55,0.62,0.58,0.58,0.64,0.6,0.67,0.74,0.68,0.65,0.64,0.69,0.64,0.7,0.4,CB,DEF,5
Dario Van den Buijs,CB,Belgium,0.67,0.56,0.54,0.61,0.58,0.67,0.7,0.55,0.57,0.53,0.61,0.64,0.66,0.76,0.67,0.73,0.66,0.65,0.69,0.67,0.66,0.73,CB,DEF,3
Jasper van der Werff,CB,Switzerland,0.67,0.6,0.29,0.49,0.58,0.67,0.69,0.6,0.6,0.66,0.59,0.57,0.64,0.74,0.62,0.72,0.67,0.64,0.68,0.69,0.64,0.33,CB,DEF,5
Alec Van Hoorenbeeck,CB,Belgium,0.67,0.59,0.29,0.52,0.59,0.66,0.7,0.53,0.64,0.62,0.61,0.62,0.62,0.72,0.65,0.71,0.67,0.65,0.64,0.67,0.7,0.41,CB,DEF,5
Nilton Varela,LB,Portugal,0.67,0.73,0.51,0.56,0.67,0.64,0.69,0.74,0.73,0.7,0.69,0.66,0.62,0.71,0.67,0.74,0.65,0.66,0.63,0.65,0.58,0.56,LB,DEF,2
Jefre Vargas,RB,Venezuela,0.67,0.77,0.5,0.58,0.63,0.62,0.66,0.81,0.73,0.61,0.64,0.61,0.65,0.69,0.72,0.65,0.65,0.61,0.65,0.64,0.41,0.5,RB,DEF,2
Brayan Véjar,LB,Chile,0.67,0.89,0.51,0.61,0.7,0.58,0.68,0.92,0.86,0.81,0.78,0.66,0.6,0.66,0.81,0.72,0.63,0.59,0.57,0.58,0.47,0.59,LB,DEF,2
Pedro Velurtas,RB,Argentina,0.67,0.8,0.55,0.6,0.63,0.64,0.57,0.81,0.79,0.8,0.6,0.6,0.56,0.46,0.71,0.69,0.67,0.66,0.65,0.52,0.7,0.56,RB,DEF,1
Michael Venturi,CB,Italy,0.67,0.51,0.48,0.6,0.61,0.7,0.54,0.58,0.46,0.57,0.55,0.63,0.62,0.6,0.32,0.66,0.73,0.69,0.72,0.66,0.65,0.59,CB,DEF,3
Nikolas Veratschnig,RB,Austria,0.67,0.75,0.52,0.6,0.65,0.61,0.71,0.7,0.79,0.71,0.65,0.65,0.63,0.69,0.77,0.66,0.65,0.63,0.6,0.61,0.53,0.61,RB,DEF,2
Davide Veroli,LB,Italy,0.67,0.71,0.43,0.54,0.59,0.67,0.71,0.7,0.71,0.55,0.63,0.61,0.63,0.73,0.68,0.76,0.68,0.66,0.68,0.65,0.69,0.6,LB,DEF,2
Carlos Vivas,CB,Venezuela,0.67,0.6,0.22,0.47,0.45,0.67,0.64,0.57,0.62,0.58,0.57,0.65,0.66,0.64,0.59,0.67,0.66,0.64,0.63,0.77,0.67,0.28,CB,DEF,5
Joe Ward,RB,England,0.67,0.82,0.56,0.64,0.69,0.59,0.6,0.8,0.83,0.87,0.88,0.64,0.66,0.54,0.78,0.64,0.6,0.58,0.6,0.59,0.51,0.58,RB,DEF,1
Joel Waterman,CB,Canada,0.67,0.41,0.33,0.58,0.51,0.67,0.73,0.34,0.47,0.33,0.36,0.58,0.69,0.78,0.64,0.65,0.68,0.62,0.7,0.66,0.61,0.39,CB,DEF,3
Wei Zhen,CB,China PR,0.67,0.66,0.34,0.54,0.54,0.66,0.72,0.66,0.66,0.61,0.68,0.58,0.64,0.74,0.69,0.75,0.7,0.66,0.66,0.62,0.66,0.4,CB,DEF,5
Erik Wekesser,LB,Germany,0.67,0.74,0.63,0.63,0.66,0.62,0.72,0.75,0.73,0.67,0.67,0.67,0.64,0.74,0.68,0.77,0.63,0.62,0.6,0.62,0.6,0.66,LB,DEF,2
Jordan Williams,RB,England,0.67,0.73,0.46,0.57,0.65,0.64,0.71,0.74,0.72,0.69,0.67,0.63,0.65,0.67,0.79,0.82,0.64,0.63,0.64,0.64,0.61,0.45,RB,DEF,2
Kane Wilson,RB,England,0.67,0.85,0.52,0.6,0.7,0.57,0.7,0.86,0.84,0.8,0.74,0.67,0.62,0.65,0.88,0.73,0.59,0.57,0.58,0.57,0.52,0.52,RB,DEF,2
Joshua Wilson-Esbrand,LB,England,0.67,0.81,0.41,0.6,0.69,0.62,0.58,0.8,0.82,0.77,0.85,0.64,0.6,0.55,0.62,0.66,0.69,0.67,0.55,0.63,0.51,0.54,LB,DEF,1
Henry Wingo,CB,United States,0.67,0.72,0.55,0.64,0.66,0.67,0.7,0.75,0.7,0.76,0.78,0.65,0.68,0.72,0.68,0.77,0.67,0.65,0.7,0.69,0.6,0.71,CB,DEF,2
Robin Yalçın,RB,Germany,0.67,0.61,0.46,0.62,0.68,0.67,0.67,0.63,0.59,0.67,0.66,0.69,0.68,0.71,0.66,0.7,0.67,0.67,0.68,0.67,0.59,0.59,RB,DEF,2
Andy Yiadom,RB,Ghana,0.67,0.75,0.52,0.59,0.65,0.62,0.77,0.74,0.76,0.75,0.76,0.62,0.63,0.74,0.79,0.77,0.62,0.63,0.62,0.62,0.6,0.57,RB,DEF,2
Héctor Yuste,CB,Spain,0.67,0.52,0.52,0.62,0.57,0.66,0.77,0.5,0.54,0.52,0.66,0.6,0.64,0.82,0.74,0.73,0.7,0.57,0.65,0.69,0.63,0.64,CB,DEF,3
Gjoko Zajkov,CB,North Macedonia,0.67,0.5,0.24,0.47,0.47,0.68,0.71,0.45,0.54,0.52,0.59,0.5,0.64,0.8,0.57,0.71,0.67,0.64,0.71,0.67,0.67,0.42,CB,DEF,5
Luca Zander,RB,Germany,0.67,0.76,0.37,0.57,0.62,0.63,0.65,0.81,0.72,0.7,0.64,0.64,0.64,0.64,0.65,0.72,0.67,0.64,0.62,0.61,0.54,0.46,RB,DEF,2
Luis Zárate,CB,Paraguay,0.67,0.59,0.25,0.4,0.46,0.69,0.72,0.63,0.55,0.41,0.58,0.5,0.61,0.75,0.7,0.75,0.7,0.68,0.71,0.64,0.7,0.34,CB,DEF,5
Sean Zawadzki,CB,United States,0.67,0.73,0.5,0.58,0.65,0.66,0.7,0.7,0.75,0.56,0.69,0.68,0.65,0.7,0.71,0.73,0.67,0.64,0.66,0.67,0.65,0.6,CB,DEF,2
Jean Zimmer,RB,Germany,0.67,0.86,0.59,0.59,0.68,0.58,0.64,0.86,0.86,0.82,0.85,0.65,0.63,0.58,0.75,0.62,0.61,0.61,0.61,0.58,0.4,0.76,RB,DEF,1
Talys,LB,Brazil,0.66,0.72,0.43,0.54,0.64,0.61,0.72,0.7,0.73,0.63,0.62,0.66,0.59,0.77,0.72,0.71,0.65,0.64,0.6,0.61,0.51,0.6,LB,DEF,2
Abdel Hakim Abdallah,LB,Netherlands,0.66,0.81,0.4,0.57,0.65,0.6,0.68,0.84,0.78,0.89,0.88,0.66,0.53,0.66,0.81,0.79,0.62,0.6,0.58,0.6,0.63,0.55,LB,DEF,2
Dawid Abramowicz,LB,Poland,0.66,0.75,0.58,0.64,0.55,0.59,0.79,0.73,0.76,0.59,0.58,0.55,0.62,0.77,0.92,0.67,0.61,0.58,0.61,0.6,0.43,0.66,LB,DEF,2
Lalas Abubakar,CB,Ghana,0.66,0.55,0.32,0.49,0.5,0.64,0.79,0.43,0.65,0.56,0.48,0.58,0.61,0.86,0.7,0.72,0.65,0.62,0.63,0.63,0.63,0.37,CB,DEF,5
Emanuel Aiwu,CB,Austria,0.66,0.7,0.42,0.51,0.56,0.63,0.76,0.68,0.72,0.69,0.62,0.62,0.64,0.78,0.73,0.76,0.7,0.68,0.56,0.63,0.6,0.55,CB,DEF,2
Takahiro Akimoto,LB,Japan,0.66,0.77,0.65,0.62,0.67,0.58,0.72,0.82,0.73,0.76,0.8,0.64,0.62,0.68,0.81,0.78,0.58,0.56,0.59,0.56,0.62,0.68,LB,DEF,2
Awn Al Bishi,CB,Saudi Arabia,0.66,0.66,0.38,0.45,0.39,0.66,0.7,0.62,0.69,0.49,0.33,0.45,0.66,0.79,0.61,0.75,0.66,0.69,0.65,0.68,0.63,0.54,CB,DEF,5
Nasser Al Dawsari,LB,Saudi Arabia,0.66,0.68,0.6,0.69,0.68,0.59,0.59,0.66,0.69,0.79,0.67,0.68,0.6,0.58,0.65,0.6,0.6,0.61,0.59,0.62,0.52,0.7,LB,DEF,1
Mohammed Al Fatil,CB,Saudi Arabia,0.66,0.58,0.3,0.49,0.49,0.66,0.68,0.63,0.54,0.61,0.57,0.6,0.6,0.72,0.63,0.83,0.67,0.63,0.65,0.65,0.69,0.43,CB,DEF,5
Radhi Al Otaibi,RB,Saudi Arabia,0.66,0.87,0.45,0.6,0.65,0.56,0.63,0.88,0.87,0.79,0.79,0.66,0.59,0.57,0.85,0.67,0.6,0.6,0.56,0.54,0.47,0.49,RB,DEF,1
Hamdan Al Shamrani,LB,Saudi Arabia,0.66,0.92,0.54,0.53,0.61,0.57,0.77,0.93,0.91,0.78,0.54,0.6,0.54,0.72,0.83,0.94,0.58,0.65,0.51,0.57,0.64,0.62,LB,DEF,2
Sofiane Alakouch,RB,Morocco,0.66,0.71,0.43,0.62,0.65,0.62,0.64,0.72,0.71,0.76,0.75,0.63,0.63,0.63,0.69,0.66,0.64,0.63,0.62,0.64,0.52,0.62,RB,DEF,2
Ajibola Alese,LB,England,0.66,0.75,0.33,0.52,0.6,0.66,0.74,0.71,0.79,0.56,0.59,0.58,0.59,0.8,0.67,0.8,0.68,0.63,0.67,0.65,0.62,0.43,LB,DEF,2
Altimira,RB,Spain,0.66,0.65,0.42,0.61,0.63,0.63,0.58,0.66,0.64,0.58,0.8,0.64,0.65,0.56,0.7,0.65,0.66,0.63,0.6,0.63,0.63,0.21,RB,DEF,1
Frederic Ananou,RB,Togo,0.66,0.86,0.44,0.51,0.63,0.62,0.73,0.81,0.9,0.68,0.63,0.61,0.59,0.77,0.69,0.84,0.64,0.61,0.62,0.59,0.62,0.5,RB,DEF,2
Hugo Andersson,CB,Sweden,0.66,0.43,0.29,0.46,0.48,0.66,0.74,0.41,0.44,0.36,0.33,0.58,0.58,0.83,0.63,0.71,0.68,0.67,0.68,0.59,0.66,0.44,CB,DEF,5
Oscar Añez,RB,Bolivia,0.66,0.79,0.53,0.56,0.65,0.61,0.69,0.8,0.78,0.79,0.77,0.64,0.65,0.71,0.79,0.74,0.61,0.58,0.62,0.64,0.53,0.6,RB,DEF,2
Hugo Ángeles,LB,Peru,0.66,0.79,0.36,0.37,0.63,0.65,0.56,0.78,0.79,0.66,0.76,0.61,0.54,0.48,0.8,0.52,0.7,0.66,0.66,0.68,0.4,0.23,LB,DEF,1
Izuchukwu Anthony,CB,Nigeria,0.66,0.82,0.27,0.46,0.58,0.65,0.75,0.8,0.84,0.72,0.74,0.58,0.58,0.83,0.64,0.85,0.67,0.65,0.64,0.63,0.61,0.4,CB,DEF,2
Daniel Anyembe,CB,Kenya,0.66,0.81,0.45,0.6,0.67,0.66,0.69,0.79,0.82,0.77,0.7,0.67,0.66,0.7,0.76,0.77,0.68,0.64,0.67,0.63,0.62,0.55,CB,DEF,2
Remo Arnold,CB,Switzerland,0.66,0.38,0.35,0.56,0.56,0.66,0.72,0.39,0.37,0.42,0.66,0.59,0.6,0.79,0.65,0.69,0.66,0.65,0.65,0.64,0.7,0.49,CB,DEF,3
Xavier Arreaga,CB,Ecuador,0.66,0.53,0.28,0.49,0.56,0.66,0.72,0.55,0.52,0.54,0.6,0.59,0.62,0.71,0.71,0.71,0.67,0.64,0.67,0.62,0.7,0.39,CB,DEF,5
Serkan Asan,RB,Turkey,0.66,0.79,0.43,0.54,0.66,0.61,0.55,0.78,0.79,0.74,0.86,0.61,0.63,0.44,0.65,0.59,0.64,0.66,0.58,0.63,0.56,0.62,RB,DEF,1
Joseph Attamah,CB,Ghana,0.66,0.64,0.45,0.54,0.59,0.65,0.73,0.64,0.64,0.6,0.64,0.59,0.66,0.78,0.68,0.75,0.69,0.67,0.64,0.63,0.61,0.69,CB,DEF,2
Loide Augusto,RB,Angola,0.66,0.82,0.59,0.61,0.68,0.59,0.64,0.83,0.82,0.84,0.6,0.65,0.58,0.6,0.7,0.74,0.62,0.58,0.61,0.54,0.59,0.59,RB,DEF,1
Zé Ricardo,LB,Brazil,0.66,0.74,0.46,0.57,0.67,0.59,0.64,0.73,0.75,0.66,0.75,0.63,0.63,0.64,0.68,0.69,0.64,0.62,0.51,0.64,0.56,0.55,LB,DEF,1
Nazinho,LB,Portugal,0.66,0.76,0.33,0.54,0.63,0.62,0.62,0.78,0.75,0.63,0.65,0.63,0.64,0.63,0.62,0.66,0.66,0.63,0.6,0.66,0.46,0.26,LB,DEF,1
Joseph Baffoe,CB,Sweden,0.66,0.59,0.35,0.51,0.51,0.63,0.74,0.57,0.61,0.7,0.65,0.58,0.64,0.82,0.62,0.76,0.62,0.61,0.65,0.63,0.66,0.55,CB,DEF,5
Mihai Bălașa,CB,Romania,0.66,0.67,0.51,0.56,0.52,0.65,0.73,0.64,0.69,0.57,0.72,0.56,0.62,0.75,0.72,0.75,0.65,0.63,0.66,0.63,0.68,0.72,CB,DEF,2
Axel Bamba,CB,Côte d'Ivoire,0.66,0.78,0.33,0.54,0.56,0.64,0.76,0.72,0.83,0.59,0.51,0.6,0.67,0.85,0.61,0.79,0.61,0.6,0.69,0.66,0.55,0.41,CB,DEF,2
Théo Barbet,CB,France,0.66,0.69,0.3,0.42,0.46,0.68,0.69,0.63,0.74,0.42,0.57,0.48,0.6,0.72,0.68,0.7,0.68,0.65,0.71,0.68,0.59,0.42,CB,DEF,5
Sergio Barcia,CB,Spain,0.66,0.61,0.32,0.51,0.57,0.67,0.62,0.59,0.62,0.46,0.62,0.68,0.65,0.62,0.56,0.67,0.66,0.68,0.67,0.68,0.67,0.43,CB,DEF,5
Anthony Baron,LB,France,0.66,0.67,0.38,0.63,0.63,0.63,0.69,0.67,0.67,0.66,0.74,0.63,0.62,0.71,0.69,0.7,0.64,0.63,0.64,0.64,0.55,0.56,LB,DEF,2
Orlando Barreto,CB,Paraguay,0.66,0.51,0.51,0.55,0.6,0.64,0.71,0.52,0.51,0.57,0.65,0.64,0.7,0.77,0.61,0.72,0.66,0.6,0.61,0.65,0.66,0.49,CB,DEF,3
Bautista Barros Schelotto,RB,Argentina,0.66,0.71,0.4,0.57,0.59,0.63,0.66,0.69,0.73,0.61,0.57,0.57,0.61,0.57,0.8,0.6,0.67,0.64,0.63,0.63,0.51,0.29,RB,DEF,1
Marvin Bejarano,LB,Bolivia,0.66,0.62,0.57,0.56,0.61,0.64,0.69,0.59,0.64,0.65,0.77,0.55,0.62,0.67,0.8,0.67,0.66,0.61,0.63,0.64,0.62,0.58,LB,DEF,2
Carlos Beltrán,CB,Argentina,0.66,0.46,0.42,0.52,0.52,0.67,0.7,0.49,0.44,0.44,0.64,0.55,0.54,0.74,0.66,0.69,0.68,0.64,0.69,0.64,0.68,0.39,CB,DEF,5
Miguel Ángel Benítez,LB,Paraguay,0.66,0.68,0.61,0.63,0.69,0.6,0.73,0.71,0.65,0.8,0.77,0.62,0.67,0.69,0.83,0.71,0.61,0.58,0.62,0.57,0.59,0.65,LB,DEF,2
Óliver Benítez,CB,Argentina,0.66,0.6,0.36,0.4,0.36,0.66,0.74,0.6,0.6,0.37,0.54,0.42,0.6,0.82,0.65,0.78,0.67,0.66,0.68,0.63,0.67,0.6,CB,DEF,5
Guillermo Benítez,LB,Argentina,0.66,0.73,0.48,0.55,0.6,0.66,0.63,0.71,0.74,0.67,0.81,0.56,0.63,0.62,0.53,0.69,0.68,0.67,0.68,0.61,0.58,0.49,LB,DEF,2
Liam Bennett,RB,England,0.66,0.83,0.34,0.56,0.66,0.58,0.64,0.83,0.83,0.85,0.84,0.62,0.59,0.52,0.86,0.73,0.62,0.61,0.58,0.55,0.5,0.33,RB,DEF,1
Loïc Bessilé,CB,Togo,0.66,0.74,0.36,0.52,0.61,0.64,0.72,0.71,0.77,0.66,0.69,0.58,0.61,0.77,0.66,0.8,0.66,0.63,0.6,0.66,0.66,0.62,CB,DEF,2
José Bizama,RB,Chile,0.66,0.77,0.45,0.59,0.61,0.63,0.73,0.74,0.79,0.68,0.64,0.64,0.55,0.74,0.71,0.78,0.65,0.64,0.65,0.58,0.63,0.55,RB,DEF,2
Filip Blažek,CB,Slovakia,0.66,0.59,0.3,0.48,0.52,0.66,0.69,0.58,0.6,0.52,0.5,0.55,0.6,0.79,0.51,0.75,0.67,0.65,0.64,0.66,0.66,0.43,CB,DEF,5
Lukas Boeder,CB,Germany,0.66,0.66,0.31,0.54,0.58,0.65,0.73,0.65,0.66,0.56,0.61,0.62,0.64,0.76,0.74,0.76,0.64,0.64,0.67,0.66,0.65,0.49,CB,DEF,3
Boli Bolingoli,LB,Belgium,0.66,0.79,0.57,0.6,0.68,0.59,0.72,0.77,0.8,0.79,0.77,0.64,0.61,0.73,0.75,0.77,0.63,0.61,0.55,0.57,0.59,0.63,LB,DEF,2
Solomon Bonnah,RB,Holland,0.66,0.87,0.38,0.53,0.67,0.58,0.5,0.9,0.85,0.94,0.91,0.63,0.59,0.33,0.74,0.48,0.62,0.6,0.59,0.6,0.34,0.32,RB,DEF,1
Sebastian Borza,LB,Romania,0.66,0.8,0.61,0.63,0.66,0.59,0.65,0.74,0.84,0.79,0.81,0.65,0.64,0.64,0.71,0.64,0.61,0.61,0.6,0.61,0.48,0.68,LB,DEF,2
Kenji-Van Boto,LB,Madagascar,0.66,0.71,0.49,0.57,0.62,0.61,0.73,0.73,0.69,0.71,0.64,0.62,0.61,0.74,0.87,0.77,0.64,0.61,0.61,0.58,0.6,0.64,LB,DEF,2
Ismaël Boura,LB,Netherlands,0.66,0.72,0.47,0.56,0.7,0.61,0.65,0.75,0.7,0.72,0.8,0.69,0.64,0.62,0.69,0.66,0.67,0.65,0.58,0.6,0.5,0.46,LB,DEF,1
Calvin Brackelmann,CB,Germany,0.66,0.73,0.47,0.57,0.52,0.64,0.78,0.7,0.76,0.58,0.56,0.52,0.64,0.87,0.67,0.82,0.67,0.63,0.65,0.56,0.64,0.55,CB,DEF,2
Sonny Bradley,CB,England,0.66,0.46,0.29,0.45,0.46,0.66,0.72,0.44,0.48,0.52,0.32,0.52,0.6,0.77,0.65,0.69,0.65,0.64,0.67,0.65,0.67,0.38,CB,DEF,5
João Moutinho,LB,Portugal,0.66,0.64,0.37,0.61,0.65,0.63,0.67,0.65,0.63,0.7,0.64,0.65,0.6,0.69,0.71,0.7,0.64,0.61,0.62,0.64,0.62,0.6,LB,DEF,2
Lucas Brumme,LB,Germany,0.66,0.7,0.57,0.6,0.65,0.61,0.68,0.71,0.7,0.63,0.62,0.65,0.63,0.67,0.74,0.67,0.64,0.59,0.62,0.63,0.51,0.59,LB,DEF,2
Max Bruns,CB,Holland,0.66,0.59,0.43,0.59,0.59,0.68,0.65,0.57,0.6,0.66,0.66,0.55,0.68,0.62,0.71,0.66,0.68,0.64,0.68,0.69,0.65,0.57,CB,DEF,2
Gastón Bueno,CB,Uruguay,0.66,0.5,0.32,0.42,0.47,0.7,0.59,0.51,0.5,0.43,0.62,0.66,0.58,0.63,0.48,0.64,0.75,0.7,0.68,0.65,0.66,0.4,CB,DEF,5
Marco Burch,CB,Switzerland,0.66,0.67,0.43,0.52,0.5,0.65,0.74,0.69,0.65,0.66,0.72,0.61,0.57,0.75,0.78,0.77,0.67,0.63,0.63,0.65,0.7,0.45,CB,DEF,2
Nicolas Bürgy,CB,Switzerland,0.66,0.41,0.37,0.44,0.48,0.66,0.7,0.45,0.38,0.49,0.61,0.57,0.65,0.76,0.62,0.69,0.65,0.67,0.66,0.66,0.66,0.39,CB,DEF,5
Rocky Bushiri,CB,Congo DR,0.66,0.6,0.26,0.4,0.45,0.63,0.82,0.53,0.66,0.37,0.41,0.51,0.56,0.91,0.71,0.78,0.64,0.65,0.62,0.61,0.66,0.46,CB,DEF,5
Alessio Buttaro,RB,Italy,0.66,0.81,0.55,0.57,0.61,0.62,0.74,0.8,0.81,0.69,0.73,0.6,0.63,0.78,0.67,0.83,0.64,0.63,0.6,0.6,0.63,0.6,RB,DEF,2
Carlos Cabello,RB,Peru,0.66,0.75,0.25,0.55,0.57,0.62,0.53,0.74,0.75,0.58,0.78,0.57,0.6,0.48,0.64,0.61,0.64,0.6,0.6,0.65,0.59,0.28,RB,DEF,1
Chris Cadden,RB,Scotland,0.66,0.7,0.58,0.64,0.66,0.6,0.73,0.68,0.71,0.68,0.7,0.66,0.59,0.7,0.84,0.69,0.6,0.6,0.59,0.6,0.59,0.65,RB,DEF,2
Abdu Conté,LB,Portugal,0.66,0.68,0.46,0.53,0.66,0.63,0.75,0.65,0.7,0.66,0.65,0.66,0.62,0.79,0.71,0.74,0.65,0.61,0.63,0.63,0.59,0.7,LB,DEF,2
Andrea Cagnano,LB,Italy,0.66,0.66,0.43,0.6,0.6,0.64,0.72,0.65,0.66,0.7,0.65,0.61,0.62,0.78,0.74,0.7,0.64,0.63,0.66,0.64,0.54,0.61,LB,DEF,2
Beder Caicedo,LB,Ecuador,0.66,0.8,0.49,0.59,0.66,0.6,0.68,0.77,0.82,0.75,0.73,0.63,0.63,0.68,0.71,0.74,0.61,0.58,0.6,0.62,0.59,0.42,LB,DEF,2
Luis Caicedo,CB,Ecuador,0.66,0.53,0.28,0.47,0.4,0.66,0.72,0.51,0.55,0.49,0.7,0.51,0.62,0.75,0.66,0.7,0.66,0.61,0.66,0.65,0.68,0.37,CB,DEF,5
Kerim Çalhanoğlu,LB,Germany,0.66,0.72,0.51,0.63,0.65,0.59,0.65,0.77,0.68,0.76,0.71,0.63,0.62,0.64,0.68,0.69,0.64,0.62,0.57,0.58,0.52,0.62,LB,DEF,1
George Campbell,CB,United States,0.66,0.71,0.33,0.43,0.58,0.63,0.75,0.64,0.76,0.57,0.46,0.61,0.56,0.82,0.64,0.78,0.65,0.59,0.63,0.63,0.64,0.5,CB,DEF,5
Felipe Campos,RB,Chile,0.66,0.71,0.45,0.61,0.63,0.64,0.72,0.7,0.72,0.72,0.59,0.63,0.61,0.77,0.62,0.77,0.65,0.66,0.65,0.59,0.64,0.5,RB,DEF,2
Gustavo Canto,LB,Argentina,0.66,0.52,0.4,0.52,0.55,0.68,0.76,0.52,0.52,0.53,0.59,0.53,0.69,0.76,0.82,0.72,0.69,0.63,0.68,0.69,0.68,0.55,LB,DEF,3
Tiberiu Căpușă,RB,Romania,0.66,0.76,0.4,0.54,0.6,0.61,0.72,0.74,0.77,0.7,0.62,0.6,0.62,0.71,0.82,0.71,0.61,0.63,0.62,0.61,0.53,0.59,RB,DEF,2
Lucas Carrizo,CB,Argentina,0.66,0.69,0.39,0.52,0.63,0.66,0.74,0.68,0.7,0.69,0.7,0.63,0.6,0.72,0.86,0.79,0.69,0.66,0.65,0.69,0.55,0.32,CB,DEF,2
Olly Casey,CB,England,0.66,0.57,0.27,0.45,0.51,0.65,0.71,0.55,0.58,0.46,0.55,0.56,0.6,0.75,0.67,0.72,0.66,0.64,0.65,0.65,0.67,0.36,CB,DEF,5
Giuliano Cerato,RB,Argentina,0.66,0.71,0.47,0.6,0.63,0.63,0.52,0.72,0.71,0.71,0.79,0.54,0.61,0.46,0.64,0.53,0.66,0.63,0.66,0.62,0.47,0.71,RB,DEF,1
Leyser Chaverra,RB,Colombia,0.66,0.78,0.29,0.48,0.63,0.59,0.69,0.8,0.77,0.76,0.73,0.6,0.64,0.69,0.79,0.71,0.59,0.63,0.61,0.58,0.51,0.28,RB,DEF,1
Amin Cherni,LB,Tunisia,0.66,0.72,0.33,0.54,0.6,0.59,0.62,0.75,0.7,0.65,0.64,0.55,0.64,0.56,0.85,0.57,0.66,0.59,0.58,0.59,0.44,0.31,LB,DEF,1
Vlad Chiricheș,CB,Romania,0.66,0.35,0.6,0.56,0.59,0.69,0.57,0.34,0.35,0.53,0.66,0.57,0.63,0.63,0.34,0.58,0.69,0.69,0.69,0.69,0.65,0.71,CB,DEF,3
Daijiro Chirino,RB,Curaçao,0.66,0.8,0.34,0.55,0.62,0.61,0.71,0.81,0.79,0.74,0.65,0.61,0.62,0.69,0.74,0.78,0.61,0.63,0.58,0.64,0.61,0.56,RB,DEF,2
Joris Chougrani,CB,France,0.66,0.71,0.28,0.53,0.58,0.65,0.74,0.73,0.7,0.65,0.59,0.62,0.61,0.76,0.77,0.81,0.65,0.61,0.66,0.64,0.68,0.4,CB,DEF,2
Uğur Çiftçi,LB,Turkey,0.66,0.68,0.5,0.64,0.66,0.62,0.7,0.67,0.69,0.65,0.68,0.64,0.68,0.69,0.71,0.58,0.65,0.63,0.65,0.6,0.42,0.66,LB,DEF,2
Sadık Çiftpınar,CB,Turkey,0.66,0.71,0.25,0.4,0.49,0.66,0.7,0.71,0.71,0.7,0.65,0.48,0.67,0.72,0.64,0.76,0.67,0.69,0.67,0.65,0.62,0.34,CB,DEF,5
José Córdoba,CB,Panama,0.66,0.71,0.31,0.53,0.61,0.63,0.72,0.64,0.77,0.59,0.58,0.64,0.55,0.82,0.54,0.78,0.66,0.68,0.58,0.6,0.65,0.53,CB,DEF,5
