Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,att_cluster
Roko Baturina,ST,Croatia,0.65,0.66,0.67,0.49,0.6,0.21,0.69,0.67,0.65,0.54,0.37,0.63,0.57,0.81,0.59,0.78,0.15,0.14,0.18,0.17,0.63,0.71,ST,ATT,1
André Becker,ST,Brazil,0.65,0.55,0.64,0.41,0.59,0.28,0.76,0.53,0.56,0.56,0.36,0.62,0.62,0.91,0.67,0.83,0.22,0.26,0.25,0.2,0.72,0.68,ST,ATT,1
Edgar Benítez,LW,Paraguay,0.65,0.66,0.63,0.66,0.64,0.27,0.59,0.65,0.67,0.7,0.54,0.63,0.58,0.58,0.64,0.56,0.2,0.24,0.19,0.41,0.45,0.61,LW,ATT,5
Mason Bennett,ST,England,0.65,0.75,0.6,0.61,0.66,0.42,0.73,0.77,0.74,0.74,0.7,0.66,0.63,0.79,0.61,0.83,0.4,0.32,0.42,0.42,0.62,0.62,ST,ATT,2
Jo Inge Berget,ST,Norway,0.65,0.64,0.65,0.64,0.63,0.53,0.75,0.62,0.65,0.62,0.66,0.64,0.69,0.76,0.74,0.74,0.56,0.53,0.45,0.59,0.6,0.74,ST,ATT,2
Adel Bettaieb,ST,Tunisia,0.65,0.72,0.65,0.53,0.65,0.22,0.63,0.7,0.74,0.61,0.57,0.67,0.56,0.7,0.66,0.72,0.2,0.22,0.17,0.14,0.62,0.71,ST,ATT,5
Brian Beyer,ST,France,0.65,0.67,0.64,0.54,0.66,0.35,0.76,0.66,0.67,0.63,0.62,0.67,0.67,0.78,0.73,0.77,0.33,0.27,0.35,0.28,0.64,0.75,ST,ATT,4
Flavio Bianchi,ST,Italy,0.65,0.73,0.67,0.48,0.63,0.27,0.57,0.78,0.68,0.75,0.76,0.63,0.63,0.61,0.63,0.8,0.22,0.23,0.21,0.21,0.71,0.61,ST,ATT,5
Ole Didrik Blomberg,RW,Norway,0.65,0.76,0.55,0.61,0.67,0.59,0.69,0.77,0.75,0.73,0.73,0.66,0.66,0.65,0.78,0.7,0.61,0.59,0.58,0.58,0.53,0.55,RW,ATT,2
Ștefan Bodișteanu,LW,Romania,0.65,0.81,0.55,0.6,0.68,0.37,0.59,0.82,0.8,0.81,0.76,0.67,0.57,0.58,0.75,0.56,0.37,0.34,0.36,0.46,0.26,0.51,LW,ATT,7
Rivaldinho,ST,Brazil,0.65,0.67,0.64,0.58,0.64,0.33,0.73,0.66,0.67,0.59,0.72,0.66,0.58,0.83,0.66,0.81,0.37,0.35,0.21,0.27,0.69,0.67,ST,ATT,1
Torgeir Børven,ST,Norway,0.65,0.61,0.64,0.56,0.64,0.33,0.65,0.6,0.61,0.71,0.65,0.65,0.68,0.72,0.68,0.73,0.27,0.22,0.37,0.22,0.67,0.67,ST,ATT,1
Iker Bravo,ST,Spain,0.65,0.66,0.66,0.54,0.65,0.23,0.56,0.67,0.66,0.66,0.63,0.66,0.61,0.6,0.53,0.7,0.17,0.17,0.2,0.18,0.7,0.7,ST,ATT,5
Kai Brünker,ST,Germany,0.65,0.62,0.66,0.43,0.55,0.4,0.84,0.53,0.7,0.58,0.54,0.59,0.63,0.9,0.8,0.83,0.4,0.38,0.37,0.32,0.71,0.72,ST,ATT,1
Paris Brunner,ST,Germany,0.65,0.68,0.66,0.51,0.67,0.27,0.59,0.69,0.68,0.72,0.67,0.65,0.59,0.64,0.57,0.69,0.28,0.2,0.2,0.24,0.6,0.62,ST,ATT,5
Vitor Gabriel,ST,Brazil,0.65,0.74,0.64,0.43,0.63,0.21,0.69,0.7,0.78,0.57,0.59,0.61,0.56,0.78,0.61,0.79,0.12,0.18,0.16,0.18,0.67,0.67,ST,ATT,5
Bailey Cadamarteri,ST,England,0.65,0.76,0.63,0.47,0.62,0.32,0.61,0.78,0.75,0.66,0.66,0.62,0.63,0.62,0.61,0.74,0.38,0.19,0.23,0.3,0.6,0.65,ST,ATT,5
Niklas Castro,LW,Chile,0.65,0.72,0.63,0.61,0.67,0.42,0.61,0.75,0.7,0.71,0.78,0.66,0.56,0.57,0.75,0.63,0.39,0.32,0.42,0.45,0.51,0.64,LW,ATT,2
Matias Cavalleri,RW,Chile,0.65,0.81,0.61,0.59,0.68,0.32,0.57,0.8,0.81,0.74,0.78,0.64,0.57,0.58,0.73,0.72,0.31,0.26,0.33,0.21,0.61,0.65,RW,ATT,7
Joseph Champness,LW,New Zealand,0.65,0.82,0.61,0.56,0.68,0.24,0.59,0.83,0.82,0.69,0.64,0.63,0.53,0.71,0.51,0.67,0.25,0.24,0.2,0.19,0.39,0.64,LW,ATT,5
Pablo Chavarría,ST,Argentina,0.65,0.57,0.64,0.65,0.64,0.35,0.76,0.55,0.59,0.71,0.68,0.64,0.66,0.78,0.77,0.74,0.37,0.48,0.24,0.28,0.66,0.68,ST,ATT,1
Collado,ST,Spain,0.65,0.62,0.67,0.62,0.64,0.34,0.54,0.63,0.62,0.65,0.62,0.65,0.59,0.57,0.65,0.65,0.3,0.31,0.31,0.31,0.65,0.68,ST,ATT,5
Facinet Conte,ST,Guinea,0.65,0.83,0.64,0.45,0.67,0.19,0.5,0.8,0.86,0.77,0.76,0.64,0.63,0.56,0.51,0.7,0.19,0.16,0.11,0.12,0.58,0.64,ST,ATT,5
Andy Cook,ST,England,0.65,0.52,0.65,0.53,0.59,0.28,0.84,0.52,0.52,0.45,0.68,0.63,0.65,0.91,0.7,0.87,0.26,0.25,0.22,0.23,0.68,0.69,ST,ATT,1
Valerio Crespi,ST,Italy,0.65,0.78,0.63,0.57,0.63,0.34,0.68,0.8,0.76,0.73,0.72,0.6,0.63,0.79,0.57,0.84,0.32,0.27,0.27,0.35,0.64,0.65,ST,ATT,5
Erdon Daci,ST,North Macedonia,0.65,0.65,0.67,0.59,0.65,0.26,0.6,0.63,0.66,0.61,0.61,0.64,0.65,0.65,0.58,0.68,0.17,0.17,0.29,0.19,0.62,0.7,ST,ATT,5
Dalmau,ST,Spain,0.65,0.67,0.67,0.52,0.65,0.4,0.57,0.68,0.66,0.7,0.66,0.64,0.63,0.59,0.6,0.69,0.33,0.27,0.45,0.34,0.7,0.68,ST,ATT,2
Luís Phelipe,LW,Brazil,0.65,0.79,0.56,0.61,0.7,0.45,0.69,0.78,0.79,0.73,0.59,0.7,0.55,0.7,0.68,0.74,0.4,0.39,0.45,0.47,0.57,0.61,LW,ATT,2
Sory Ibrahim Diarra,ST,Mali,0.65,0.78,0.64,0.49,0.57,0.26,0.73,0.76,0.8,0.71,0.56,0.57,0.6,0.8,0.72,0.84,0.23,0.22,0.2,0.2,0.66,0.67,ST,ATT,5
Vagner,ST,Cape Verde Islands,0.65,0.79,0.66,0.63,0.7,0.31,0.57,0.81,0.78,0.9,0.8,0.67,0.65,0.55,0.53,0.64,0.39,0.32,0.21,0.24,0.49,0.69,ST,ATT,7
Nick Doodeman,RW,Holland,0.65,0.73,0.61,0.59,0.67,0.29,0.51,0.75,0.72,0.74,0.77,0.66,0.56,0.51,0.66,0.52,0.32,0.31,0.24,0.23,0.4,0.6,RW,ATT,7
Damion Downs,ST,United States,0.65,0.68,0.65,0.51,0.6,0.24,0.58,0.67,0.69,0.55,0.5,0.62,0.6,0.67,0.51,0.72,0.18,0.2,0.2,0.18,0.7,0.64,ST,ATT,5
Mario Engels,ST,Germany,0.65,0.82,0.64,0.59,0.66,0.27,0.66,0.81,0.82,0.71,0.73,0.65,0.63,0.64,0.69,0.63,0.19,0.2,0.3,0.23,0.54,0.68,ST,ATT,5
Jusef Erabi,ST,Sweden,0.65,0.8,0.64,0.49,0.65,0.26,0.76,0.8,0.8,0.67,0.58,0.68,0.53,0.83,0.73,0.82,0.24,0.23,0.2,0.23,0.55,0.57,ST,ATT,5
Will Evans,ST,Wales,0.65,0.73,0.63,0.58,0.61,0.5,0.74,0.75,0.72,0.57,0.6,0.62,0.63,0.71,0.9,0.77,0.5,0.48,0.45,0.51,0.63,0.64,ST,ATT,2
Omar Faraj,ST,Palestine,0.65,0.72,0.61,0.47,0.66,0.23,0.76,0.71,0.73,0.66,0.83,0.65,0.63,0.89,0.53,0.84,0.2,0.18,0.16,0.2,0.61,0.66,ST,ATT,5
Ashley Fletcher,ST,England,0.65,0.71,0.64,0.44,0.63,0.28,0.69,0.65,0.76,0.72,0.56,0.64,0.63,0.73,0.63,0.75,0.32,0.23,0.17,0.22,0.7,0.71,ST,ATT,5
Boubacar Fofana,ST,France,0.65,0.82,0.63,0.58,0.69,0.3,0.59,0.81,0.82,0.83,0.77,0.65,0.64,0.6,0.58,0.7,0.26,0.37,0.28,0.22,0.54,0.66,ST,ATT,7
Ben Folami,LW,Australia,0.65,0.81,0.58,0.57,0.69,0.26,0.66,0.81,0.81,0.82,0.77,0.69,0.54,0.77,0.71,0.82,0.2,0.2,0.23,0.25,0.59,0.57,LW,ATT,5
Per Frick,ST,Sweden,0.65,0.74,0.62,0.57,0.59,0.36,0.85,0.76,0.73,0.73,0.7,0.56,0.72,0.88,0.75,0.87,0.34,0.25,0.36,0.29,0.64,0.61,ST,ATT,4
Noah Ganaus,ST,Germany,0.65,0.54,0.64,0.49,0.6,0.25,0.7,0.55,0.54,0.5,0.54,0.63,0.61,0.74,0.71,0.77,0.17,0.19,0.22,0.2,0.74,0.63,ST,ATT,1
Lars Gindorf,ST,Germany,0.65,0.67,0.66,0.59,0.65,0.36,0.58,0.68,0.66,0.65,0.71,0.66,0.64,0.65,0.6,0.61,0.38,0.41,0.36,0.25,0.47,0.69,ST,ATT,2
José de Jesús Godínez,ST,Mexico,0.65,0.68,0.62,0.54,0.64,0.3,0.71,0.66,0.69,0.54,0.58,0.67,0.62,0.76,0.67,0.82,0.21,0.25,0.28,0.26,0.71,0.58,ST,ATT,5
Lee Gregory,ST,England,0.65,0.51,0.66,0.56,0.61,0.28,0.72,0.5,0.52,0.62,0.56,0.65,0.66,0.76,0.65,0.71,0.23,0.29,0.24,0.21,0.65,0.7,ST,ATT,1
Sebastian Grønning,ST,Denmark,0.65,0.68,0.63,0.53,0.62,0.27,0.72,0.66,0.69,0.66,0.58,0.64,0.63,0.76,0.68,0.77,0.2,0.2,0.28,0.2,0.67,0.65,ST,ATT,5
John Guidetti,ST,Sweden,0.65,0.42,0.67,0.61,0.63,0.37,0.71,0.48,0.37,0.58,0.56,0.65,0.67,0.79,0.54,0.72,0.3,0.26,0.4,0.32,0.68,0.72,ST,ATT,1
Gustavo Santos,ST,Brazil,0.65,0.74,0.64,0.53,0.62,0.23,0.67,0.73,0.75,0.63,0.71,0.63,0.61,0.77,0.6,0.79,0.23,0.15,0.17,0.19,0.61,0.63,ST,ATT,5
Kornelius N. Hansen,ST,Norway,0.65,0.71,0.64,0.57,0.74,0.35,0.61,0.72,0.7,0.86,0.84,0.73,0.64,0.56,0.83,0.6,0.42,0.38,0.24,0.31,0.48,0.64,ST,ATT,7
Sigurd Haugen,ST,Norway,0.65,0.81,0.62,0.52,0.65,0.32,0.78,0.8,0.82,0.72,0.77,0.65,0.64,0.77,0.78,0.82,0.28,0.25,0.28,0.32,0.6,0.66,ST,ATT,4
Jeredy Hilterman,ST,Suriname,0.65,0.7,0.65,0.52,0.63,0.22,0.71,0.67,0.72,0.62,0.6,0.64,0.64,0.8,0.64,0.68,0.17,0.14,0.2,0.17,0.61,0.69,ST,ATT,5
Noah Jean Holm,ST,Norway,0.65,0.7,0.65,0.52,0.65,0.27,0.77,0.71,0.69,0.68,0.79,0.66,0.55,0.87,0.65,0.83,0.22,0.22,0.22,0.28,0.61,0.74,ST,ATT,4
Ben House,ST,Scotland,0.65,0.67,0.65,0.48,0.61,0.45,0.76,0.65,0.69,0.6,0.7,0.62,0.65,0.73,0.8,0.73,0.41,0.38,0.45,0.44,0.62,0.66,ST,ATT,2
Ronal Huaccha,ST,Peru,0.65,0.75,0.64,0.55,0.62,0.31,0.68,0.73,0.76,0.75,0.72,0.6,0.68,0.66,0.71,0.73,0.32,0.25,0.22,0.33,0.6,0.61,ST,ATT,5
Johannes Andres Hummelvoll-Nuñez,ST,Norway,0.65,0.74,0.66,0.52,0.62,0.19,0.67,0.73,0.75,0.64,0.66,0.63,0.63,0.67,0.69,0.71,0.15,0.16,0.12,0.18,0.58,0.7,ST,ATT,5
Luc Ihorst,ST,Germany,0.65,0.72,0.62,0.5,0.6,0.29,0.72,0.65,0.77,0.47,0.49,0.65,0.59,0.82,0.56,0.78,0.25,0.21,0.24,0.3,0.64,0.68,ST,ATT,1
John Iredale,ST,Australia,0.65,0.74,0.65,0.48,0.63,0.22,0.68,0.7,0.78,0.62,0.61,0.65,0.56,0.8,0.58,0.78,0.17,0.18,0.17,0.17,0.62,0.71,ST,ATT,5
Ayoub Jabbari,ST,Morocco,0.65,0.63,0.63,0.53,0.61,0.26,0.66,0.59,0.67,0.53,0.38,0.65,0.64,0.78,0.5,0.74,0.23,0.19,0.21,0.24,0.62,0.66,ST,ATT,1
Kayden Jackson,ST,England,0.65,0.91,0.62,0.54,0.63,0.42,0.6,0.91,0.91,0.72,0.62,0.63,0.63,0.58,0.64,0.77,0.41,0.4,0.44,0.3,0.6,0.62,ST,ATT,2
Anders K. Jacobsen,ST,Denmark,0.65,0.68,0.66,0.51,0.65,0.29,0.65,0.69,0.67,0.65,0.71,0.64,0.65,0.71,0.67,0.71,0.2,0.22,0.29,0.33,0.59,0.7,ST,ATT,5
Adam Jakobsen,ST,Denmark,0.65,0.75,0.62,0.59,0.66,0.26,0.68,0.76,0.75,0.69,0.6,0.67,0.63,0.73,0.6,0.77,0.22,0.2,0.25,0.21,0.59,0.62,ST,ATT,5
Jauregi,ST,Spain,0.65,0.55,0.67,0.48,0.61,0.25,0.64,0.54,0.55,0.57,0.56,0.59,0.61,0.82,0.33,0.8,0.18,0.11,0.3,0.13,0.71,0.67,ST,ATT,1
Daniel Jebbison,ST,England,0.65,0.78,0.62,0.49,0.63,0.3,0.72,0.75,0.8,0.67,0.66,0.64,0.59,0.78,0.73,0.8,0.28,0.25,0.22,0.31,0.62,0.68,ST,ATT,5
Isak Jensen,LW,Denmark,0.65,0.66,0.59,0.61,0.68,0.35,0.68,0.56,0.75,0.61,0.6,0.67,0.64,0.84,0.52,0.62,0.38,0.32,0.35,0.28,0.42,0.6,LW,ATT,5
Ricky-Jade Jones,ST,England,0.65,0.91,0.63,0.56,0.65,0.28,0.63,0.92,0.91,0.82,0.66,0.63,0.62,0.64,0.64,0.78,0.25,0.26,0.23,0.28,0.56,0.63,ST,ATT,7
Patrick Joosten,LW,Holland,0.65,0.79,0.67,0.58,0.67,0.36,0.59,0.8,0.78,0.73,0.66,0.67,0.64,0.58,0.68,0.67,0.32,0.29,0.34,0.38,0.52,0.78,LW,ATT,7
Wilmar Jordán,ST,Colombia,0.65,0.42,0.69,0.58,0.64,0.35,0.73,0.32,0.51,0.54,0.4,0.64,0.58,0.88,0.6,0.7,0.22,0.12,0.35,0.48,0.67,0.69,ST,ATT,1
Lukas Jutkiewicz,ST,England,0.65,0.42,0.64,0.58,0.61,0.4,0.7,0.4,0.44,0.52,0.62,0.64,0.68,0.86,0.33,0.82,0.32,0.26,0.45,0.33,0.79,0.7,ST,ATT,1
Kubilay Kanatsızkuş,ST,Turkey,0.65,0.63,0.64,0.56,0.64,0.21,0.71,0.64,0.63,0.58,0.55,0.66,0.62,0.78,0.69,0.78,0.14,0.14,0.16,0.16,0.7,0.69,ST,ATT,1
Fatih Kaya,ST,Germany,0.65,0.73,0.61,0.5,0.66,0.33,0.71,0.75,0.72,0.73,0.7,0.64,0.6,0.79,0.57,0.81,0.4,0.38,0.27,0.13,0.62,0.64,ST,ATT,5
Kevin Kelsy,ST,Venezuela,0.65,0.77,0.66,0.47,0.61,0.27,0.55,0.73,0.8,0.65,0.44,0.59,0.66,0.64,0.55,0.75,0.23,0.22,0.22,0.23,0.7,0.63,ST,ATT,5
Topi Keskinen,LW,Finland,0.65,0.83,0.61,0.59,0.66,0.39,0.56,0.84,0.82,0.7,0.78,0.64,0.61,0.54,0.62,0.66,0.36,0.32,0.38,0.42,0.53,0.61,LW,ATT,7
Yann Kitala,ST,France,0.65,0.71,0.66,0.46,0.62,0.24,0.71,0.7,0.72,0.67,0.57,0.67,0.57,0.82,0.57,0.8,0.19,0.17,0.16,0.27,0.65,0.7,ST,ATT,5
Kacper Kostorz,ST,Poland,0.65,0.78,0.63,0.57,0.6,0.4,0.6,0.77,0.78,0.59,0.66,0.59,0.66,0.61,0.7,0.74,0.48,0.46,0.34,0.21,0.62,0.67,ST,ATT,2
Giorgos Koutsias,ST,Greece,0.65,0.86,0.64,0.43,0.64,0.22,0.68,0.87,0.86,0.65,0.73,0.61,0.55,0.68,0.7,0.78,0.19,0.2,0.18,0.14,0.58,0.6,ST,ATT,5
Blaž Kramer,ST,Slovenia,0.65,0.73,0.64,0.54,0.63,0.36,0.69,0.71,0.75,0.65,0.65,0.64,0.54,0.83,0.41,0.84,0.29,0.25,0.39,0.32,0.68,0.72,ST,ATT,5
Shayne Lavery,ST,Northern Ireland,0.65,0.77,0.66,0.52,0.67,0.24,0.62,0.78,0.76,0.79,0.76,0.64,0.66,0.56,0.7,0.71,0.19,0.3,0.19,0.16,0.61,0.67,ST,ATT,5
Miles Leaburn,ST,England,0.65,0.71,0.63,0.48,0.61,0.26,0.76,0.68,0.74,0.67,0.47,0.61,0.6,0.85,0.65,0.72,0.21,0.19,0.23,0.2,0.65,0.67,ST,ATT,5
Jakob Lemmer,RW,Germany,0.65,0.76,0.6,0.6,0.69,0.31,0.63,0.76,0.76,0.82,0.72,0.67,0.58,0.58,0.72,0.63,0.32,0.33,0.26,0.26,0.48,0.64,RW,ATT,7
Harry Leonard,ST,England,0.65,0.73,0.66,0.51,0.65,0.36,0.6,0.75,0.72,0.7,0.72,0.64,0.63,0.61,0.64,0.72,0.38,0.29,0.3,0.33,0.6,0.72,ST,ATT,5
Jonathan Lewis,ST,United States,0.65,0.77,0.66,0.6,0.71,0.29,0.57,0.77,0.77,0.8,0.81,0.66,0.53,0.59,0.57,0.66,0.36,0.33,0.2,0.18,0.52,0.68,ST,ATT,7
Isac Lidberg,ST,Sweden,0.65,0.77,0.6,0.52,0.6,0.39,0.81,0.77,0.77,0.61,0.64,0.64,0.63,0.84,0.85,0.78,0.33,0.29,0.37,0.41,0.66,0.63,ST,ATT,4
Rodrigo Llano,ST,Colombia,0.65,0.73,0.65,0.42,0.65,0.21,0.62,0.75,0.71,0.66,0.57,0.64,0.59,0.7,0.68,0.77,0.13,0.16,0.18,0.18,0.68,0.71,ST,ATT,5
Élysée Logbo,ST,France,0.65,0.61,0.65,0.5,0.63,0.19,0.66,0.57,0.65,0.64,0.65,0.65,0.64,0.75,0.54,0.72,0.11,0.12,0.2,0.11,0.66,0.67,ST,ATT,5
Sævar Atli Magnússon,ST,Iceland,0.65,0.78,0.64,0.57,0.69,0.33,0.6,0.76,0.79,0.73,0.78,0.69,0.62,0.58,0.64,0.69,0.26,0.27,0.36,0.28,0.57,0.65,ST,ATT,7
Tommy Maistrello,ST,Italy,0.65,0.66,0.65,0.58,0.61,0.41,0.66,0.63,0.69,0.63,0.6,0.64,0.63,0.72,0.64,0.73,0.48,0.31,0.31,0.37,0.64,0.68,ST,ATT,2
Luka Majcen,ST,Slovenia,0.65,0.61,0.66,0.5,0.59,0.25,0.72,0.63,0.59,0.55,0.59,0.58,0.65,0.73,0.7,0.75,0.12,0.15,0.21,0.31,0.7,0.64,ST,ATT,1
Patryk Makuch,ST,Poland,0.65,0.76,0.64,0.48,0.58,0.27,0.78,0.74,0.77,0.57,0.5,0.58,0.65,0.84,0.79,0.84,0.33,0.22,0.18,0.13,0.65,0.65,ST,ATT,5
Ivo Mammini,ST,Argentina,0.65,0.71,0.65,0.58,0.66,0.28,0.61,0.7,0.72,0.62,0.65,0.67,0.65,0.61,0.55,0.7,0.16,0.41,0.18,0.34,0.65,0.64,ST,ATT,5
John Mary,ST,Cameroon,0.65,0.6,0.63,0.55,0.62,0.21,0.68,0.62,0.58,0.61,0.4,0.65,0.65,0.81,0.68,0.83,0.17,0.12,0.15,0.13,0.72,0.64,ST,ATT,1
Bruno Miranda,ST,Bolivia,0.65,0.81,0.64,0.56,0.65,0.37,0.53,0.8,0.81,0.83,0.5,0.63,0.63,0.6,0.55,0.72,0.35,0.33,0.4,0.3,0.56,0.67,ST,ATT,7
Florián Monzón,ST,Argentina,0.65,0.66,0.67,0.5,0.59,0.28,0.63,0.63,0.69,0.65,0.55,0.59,0.62,0.72,0.55,0.74,0.23,0.21,0.22,0.25,0.7,0.73,ST,ATT,5
Luca Moro,ST,Italy,0.65,0.66,0.64,0.45,0.65,0.22,0.62,0.64,0.67,0.64,0.69,0.66,0.56,0.7,0.56,0.71,0.19,0.16,0.18,0.15,0.66,0.66,ST,ATT,5
Matías Moya,LW,Argentina,0.65,0.74,0.59,0.62,0.67,0.45,0.48,0.75,0.73,0.78,0.79,0.66,0.57,0.47,0.59,0.49,0.44,0.48,0.48,0.42,0.38,0.65,LW,ATT,2
Sebastian Musiolik,ST,Poland,0.65,0.84,0.6,0.48,0.63,0.25,0.77,0.82,0.86,0.7,0.76,0.64,0.56,0.9,0.82,0.9,0.15,0.2,0.28,0.19,0.63,0.67,ST,ATT,4
Dylan Nandín,ST,Uruguay,0.65,0.56,0.7,0.42,0.61,0.23,0.64,0.55,0.56,0.55,0.74,0.61,0.64,0.75,0.6,0.71,0.15,0.11,0.2,0.22,0.66,0.67,ST,ATT,1
András Németh,ST,Hungary,0.65,0.74,0.62,0.44,0.65,0.2,0.68,0.73,0.75,0.68,0.68,0.64,0.58,0.79,0.6,0.81,0.16,0.17,0.14,0.13,0.65,0.61,ST,ATT,5
Steve Ngoura,ST,France,0.65,0.63,0.65,0.48,0.65,0.19,0.53,0.61,0.65,0.65,0.58,0.66,0.63,0.59,0.55,0.65,0.18,0.14,0.13,0.11,0.63,0.68,ST,ATT,5
Bruny Nsimba,ST,Belgium,0.65,0.87,0.64,0.53,0.68,0.32,0.55,0.89,0.85,0.77,0.69,0.66,0.6,0.68,0.33,0.74,0.33,0.29,0.26,0.31,0.5,0.66,ST,ATT,7
Samuel Ntamack,ST,France,0.65,0.78,0.64,0.49,0.65,0.24,0.58,0.77,0.78,0.74,0.73,0.64,0.6,0.64,0.58,0.76,0.23,0.19,0.2,0.14,0.67,0.58,ST,ATT,5
Maximiliano Núñez,RW,Argentina,0.65,0.79,0.59,0.62,0.65,0.49,0.53,0.8,0.79,0.75,0.79,0.64,0.58,0.43,0.61,0.59,0.46,0.43,0.52,0.49,0.55,0.64,RW,ATT,2
Noah Ohio,ST,Holland,0.65,0.89,0.64,0.49,0.65,0.25,0.67,0.9,0.89,0.76,0.61,0.63,0.62,0.79,0.56,0.85,0.24,0.22,0.2,0.2,0.57,0.67,ST,ATT,5
Isaac Olaofe,ST,England,0.65,0.91,0.6,0.47,0.65,0.2,0.67,0.91,0.91,0.84,0.83,0.62,0.6,0.73,0.74,0.85,0.13,0.16,0.16,0.18,0.64,0.57,ST,ATT,5
Christopher Olivares,ST,Peru,0.65,0.68,0.64,0.54,0.67,0.34,0.61,0.67,0.69,0.68,0.69,0.67,0.63,0.62,0.65,0.68,0.2,0.19,0.4,0.37,0.62,0.65,ST,ATT,5
Prince Owusu,ST,Germany,0.65,0.7,0.64,0.47,0.58,0.36,0.74,0.66,0.74,0.5,0.52,0.6,0.64,0.86,0.65,0.81,0.32,0.26,0.35,0.32,0.65,0.73,ST,ATT,1
Pablo Pagis,ST,France,0.65,0.61,0.66,0.47,0.64,0.21,0.56,0.63,0.59,0.61,0.67,0.68,0.63,0.59,0.69,0.67,0.16,0.2,0.16,0.15,0.67,0.64,ST,ATT,5
Byron Palacios,ST,Ecuador,0.65,0.76,0.65,0.56,0.64,0.3,0.62,0.75,0.77,0.75,0.69,0.6,0.65,0.66,0.64,0.75,0.3,0.23,0.23,0.27,0.65,0.68,ST,ATT,5
Luis Paradela,LW,Cuba,0.65,0.81,0.61,0.61,0.67,0.25,0.53,0.82,0.8,0.84,0.71,0.65,0.6,0.4,0.76,0.49,0.2,0.2,0.3,0.2,0.4,0.62,LW,ATT,7
Park Jung In,ST,Korea Republic,0.65,0.75,0.65,0.59,0.63,0.36,0.62,0.71,0.79,0.71,0.65,0.6,0.59,0.64,0.61,0.7,0.35,0.38,0.27,0.4,0.58,0.65,ST,ATT,2
Jorge Pascual,ST,Spain,0.65,0.65,0.65,0.62,0.66,0.34,0.59,0.65,0.65,0.64,0.59,0.67,0.7,0.59,0.75,0.65,0.32,0.29,0.32,0.27,0.6,0.61,ST,ATT,5
Callum Paterson,ST,Scotland,0.65,0.61,0.64,0.61,0.61,0.56,0.81,0.63,0.59,0.58,0.55,0.64,0.65,0.82,0.76,0.79,0.59,0.58,0.5,0.52,0.67,0.7,ST,ATT,2
Stefano Pettinari,ST,Italy,0.65,0.77,0.63,0.55,0.68,0.27,0.73,0.73,0.8,0.83,0.72,0.65,0.65,0.73,0.8,0.75,0.38,0.26,0.15,0.13,0.59,0.64,ST,ATT,4
Fabian Piasecki,ST,Poland,0.65,0.76,0.66,0.57,0.63,0.35,0.77,0.75,0.77,0.74,0.67,0.62,0.57,0.78,0.81,0.78,0.29,0.27,0.36,0.37,0.57,0.67,ST,ATT,4
Tim Prica,ST,Sweden,0.65,0.73,0.66,0.57,0.68,0.21,0.69,0.71,0.75,0.73,0.7,0.67,0.58,0.71,0.7,0.67,0.14,0.16,0.17,0.28,0.48,0.66,ST,ATT,5
Victorio Ramis,ST,Argentina,0.65,0.69,0.63,0.57,0.67,0.38,0.69,0.67,0.71,0.71,0.65,0.69,0.59,0.68,0.67,0.71,0.33,0.31,0.41,0.33,0.65,0.69,ST,ATT,2
Christian Rasmussen,RW,Denmark,0.65,0.84,0.63,0.55,0.67,0.21,0.59,0.86,0.82,0.76,0.71,0.68,0.62,0.67,0.6,0.65,0.14,0.17,0.21,0.2,0.52,0.66,RW,ATT,5
Jonathan Ring,RW,Sweden,0.65,0.76,0.6,0.64,0.66,0.46,0.68,0.78,0.75,0.79,0.67,0.62,0.62,0.7,0.7,0.71,0.53,0.45,0.4,0.45,0.5,0.62,RW,ATT,2
Daniel Ríos,ST,Mexico,0.65,0.48,0.68,0.45,0.59,0.26,0.67,0.45,0.51,0.51,0.52,0.63,0.55,0.75,0.56,0.69,0.23,0.21,0.18,0.21,0.69,0.66,ST,ATT,1
Tiago Reis,ST,Brazil,0.65,0.66,0.63,0.51,0.63,0.29,0.56,0.68,0.65,0.6,0.56,0.67,0.65,0.6,0.58,0.7,0.27,0.22,0.21,0.28,0.68,0.65,ST,ATT,5
Álvaro,ST,Uruguay,0.65,0.68,0.63,0.59,0.63,0.22,0.55,0.67,0.68,0.62,0.42,0.63,0.62,0.64,0.55,0.79,0.16,0.15,0.15,0.16,0.76,0.65,ST,ATT,5
Maurides,ST,Brazil,0.65,0.47,0.67,0.53,0.63,0.3,0.77,0.46,0.47,0.59,0.54,0.65,0.59,0.85,0.62,0.74,0.29,0.3,0.22,0.23,0.69,0.72,ST,ATT,1
Thomas Sabitzer,ST,Austria,0.65,0.76,0.63,0.6,0.68,0.27,0.68,0.77,0.75,0.81,0.73,0.67,0.62,0.69,0.73,0.76,0.2,0.18,0.29,0.23,0.61,0.63,ST,ATT,5
Zine,ST,Angola,0.65,0.88,0.6,0.54,0.69,0.31,0.61,0.87,0.88,0.69,0.65,0.7,0.61,0.61,0.68,0.79,0.29,0.3,0.3,0.21,0.64,0.6,ST,ATT,5
