Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,mid_cluster
Mahamadou Ba,CDM,Mali,0.64,0.71,0.55,0.56,0.63,0.61,0.63,0.72,0.71,0.65,0.75,0.65,0.58,0.6,0.63,0.68,0.62,0.65,0.59,0.64,0.55,0.62,CDM,MID,6
Bilal Bafdili,CAM,Belgium,0.64,0.73,0.55,0.61,0.71,0.39,0.41,0.79,0.68,0.77,0.89,0.7,0.47,0.35,0.51,0.5,0.42,0.5,0.37,0.29,0.48,0.53,CAM,MID,3
Owen Bailey,CDM,England,0.64,0.61,0.41,0.56,0.55,0.6,0.78,0.62,0.61,0.49,0.56,0.59,0.61,0.74,0.9,0.72,0.61,0.62,0.59,0.59,0.6,0.51,CDM,MID,0
Agustín Baldi,CDM,Argentina,0.64,0.53,0.54,0.58,0.62,0.63,0.63,0.53,0.53,0.6,0.53,0.68,0.6,0.73,0.47,0.68,0.65,0.68,0.6,0.65,0.6,0.66,CDM,MID,0
Samuel Ballet,RM,Switzerland,0.64,0.78,0.6,0.55,0.65,0.22,0.72,0.79,0.77,0.73,0.75,0.65,0.53,0.8,0.67,0.84,0.2,0.17,0.18,0.14,0.62,0.62,RM,MID,4
Samuel Bamba,LM,Germany,0.64,0.8,0.5,0.57,0.69,0.24,0.44,0.84,0.77,0.85,0.85,0.65,0.58,0.44,0.53,0.47,0.2,0.21,0.27,0.25,0.29,0.52,LM,MID,4
Gabriel Barès,CM,Switzerland,0.64,0.6,0.49,0.64,0.63,0.6,0.64,0.61,0.6,0.6,0.61,0.65,0.6,0.67,0.68,0.62,0.6,0.58,0.6,0.62,0.53,0.55,CM,MID,2
Óscar Barreto,CM,Colombia,0.64,0.69,0.59,0.63,0.68,0.47,0.56,0.65,0.73,0.75,0.77,0.68,0.55,0.52,0.68,0.55,0.39,0.25,0.55,0.56,0.5,0.66,CM,MID,4
Hamza Barry,CM,Gambia,0.64,0.62,0.57,0.61,0.64,0.58,0.62,0.59,0.65,0.68,0.62,0.66,0.64,0.58,0.7,0.54,0.61,0.58,0.57,0.63,0.46,0.59,CM,MID,6
Mika Baur,CAM,Germany,0.64,0.66,0.56,0.62,0.66,0.42,0.54,0.67,0.65,0.72,0.76,0.67,0.48,0.56,0.54,0.57,0.46,0.38,0.37,0.44,0.49,0.56,CAM,MID,4
Niccoló Belloni,LM,Italy,0.64,0.71,0.58,0.6,0.66,0.48,0.59,0.7,0.72,0.74,0.75,0.66,0.63,0.59,0.62,0.58,0.5,0.48,0.5,0.42,0.46,0.7,LM,MID,6
Ben Bender,CAM,United States,0.64,0.67,0.59,0.64,0.63,0.42,0.59,0.65,0.69,0.62,0.61,0.65,0.57,0.55,0.7,0.51,0.36,0.58,0.29,0.6,0.42,0.66,CAM,MID,2
Álex Bernal,CM,Spain,0.64,0.66,0.6,0.6,0.64,0.62,0.68,0.67,0.65,0.66,0.78,0.66,0.62,0.67,0.64,0.6,0.68,0.52,0.61,0.65,0.46,0.59,CM,MID,6
Clément Billemaz,LM,France,0.64,0.81,0.62,0.58,0.67,0.44,0.54,0.8,0.82,0.75,0.8,0.66,0.47,0.59,0.57,0.59,0.42,0.39,0.44,0.51,0.41,0.64,LM,MID,4
Malachi Boateng,CDM,England,0.64,0.6,0.5,0.57,0.63,0.63,0.66,0.54,0.65,0.67,0.65,0.65,0.62,0.68,0.72,0.65,0.63,0.61,0.63,0.66,0.6,0.62,CDM,MID,0
Mateusz Bochnak,RM,Poland,0.64,0.73,0.61,0.56,0.66,0.37,0.58,0.7,0.75,0.72,0.72,0.64,0.63,0.57,0.77,0.5,0.31,0.3,0.45,0.38,0.33,0.6,RM,MID,4
Melayro Bogarde,CDM,Holland,0.64,0.6,0.3,0.52,0.65,0.65,0.62,0.6,0.6,0.73,0.73,0.64,0.62,0.59,0.66,0.67,0.67,0.67,0.64,0.67,0.54,0.4,CDM,MID,2
Lamare Bogarde,CDM,Holland,0.64,0.64,0.46,0.57,0.61,0.63,0.69,0.65,0.63,0.58,0.65,0.64,0.59,0.75,0.59,0.73,0.66,0.62,0.61,0.63,0.6,0.56,CDM,MID,0
Agustín Bolivar,CDM,Argentina,0.64,0.61,0.46,0.58,0.61,0.64,0.63,0.67,0.56,0.69,0.75,0.65,0.65,0.64,0.54,0.69,0.63,0.66,0.64,0.63,0.63,0.59,CDM,MID,0
Elliot Bonds,CDM,Guyana,0.64,0.65,0.49,0.57,0.6,0.6,0.75,0.61,0.68,0.61,0.68,0.62,0.58,0.76,0.71,0.69,0.62,0.61,0.6,0.61,0.54,0.58,CDM,MID,0
Yvandro Borges Sanches,LM,Luxembourg,0.64,0.77,0.57,0.64,0.63,0.53,0.58,0.75,0.78,0.71,0.79,0.54,0.53,0.5,0.64,0.6,0.52,0.52,0.54,0.52,0.54,0.56,LM,MID,6
Yassine Bouchama,CAM,Germany,0.64,0.67,0.59,0.63,0.66,0.5,0.59,0.71,0.64,0.59,0.72,0.67,0.64,0.64,0.55,0.66,0.49,0.45,0.52,0.51,0.52,0.58,CAM,MID,6
Caolán Boyd-Munce,CM,Northern Ireland,0.64,0.61,0.55,0.61,0.64,0.58,0.63,0.6,0.62,0.63,0.67,0.65,0.64,0.59,0.74,0.57,0.6,0.56,0.59,0.58,0.5,0.65,CM,MID,6
Alessio Brambilla,CDM,Italy,0.64,0.63,0.5,0.65,0.62,0.58,0.66,0.6,0.65,0.55,0.59,0.68,0.52,0.69,0.68,0.66,0.63,0.62,0.52,0.57,0.58,0.63,CDM,MID,0
Zachary Brault-Guillard,RM,Canada,0.64,0.88,0.58,0.56,0.63,0.6,0.67,0.85,0.9,0.76,0.83,0.57,0.53,0.68,0.71,0.67,0.64,0.6,0.6,0.6,0.44,0.74,RM,MID,6
Pedro Bravo,CM,Colombia,0.64,0.72,0.52,0.55,0.62,0.58,0.63,0.7,0.73,0.72,0.5,0.69,0.68,0.6,0.74,0.65,0.65,0.54,0.52,0.62,0.55,0.44,CM,MID,6
Enrico Brignola,RM,Italy,0.64,0.76,0.59,0.62,0.68,0.35,0.58,0.83,0.71,0.84,0.84,0.66,0.58,0.58,0.54,0.68,0.31,0.31,0.32,0.4,0.5,0.65,RM,MID,4
Joshua Brillante,CDM,Australia,0.64,0.47,0.55,0.6,0.62,0.6,0.8,0.52,0.43,0.7,0.71,0.61,0.6,0.82,0.91,0.7,0.61,0.61,0.6,0.61,0.56,0.61,CDM,MID,0
Bennit Bröger,CAM,Germany,0.64,0.66,0.45,0.59,0.73,0.35,0.41,0.7,0.62,0.83,0.81,0.73,0.58,0.37,0.54,0.4,0.22,0.3,0.42,0.43,0.39,0.41,CAM,MID,3
Ryan Broom,CM,Wales,0.64,0.83,0.57,0.63,0.67,0.56,0.66,0.86,0.81,0.82,0.81,0.63,0.63,0.59,0.81,0.67,0.59,0.56,0.54,0.6,0.48,0.59,CM,MID,6
James Brophy,LM,England,0.64,0.86,0.51,0.58,0.64,0.55,0.69,0.82,0.89,0.8,0.69,0.61,0.57,0.66,0.84,0.65,0.57,0.56,0.57,0.54,0.42,0.56,LM,MID,6
Jordan Brown,CDM,England,0.64,0.66,0.41,0.56,0.6,0.61,0.71,0.66,0.66,0.64,0.65,0.61,0.62,0.69,0.81,0.65,0.62,0.63,0.6,0.61,0.54,0.48,CDM,MID,2
Finley Burns,CDM,England,0.64,0.58,0.36,0.52,0.59,0.63,0.67,0.55,0.61,0.54,0.46,0.61,0.64,0.7,0.66,0.68,0.63,0.62,0.64,0.63,0.65,0.5,CDM,MID,2
Marco Bustos,RM,Canada,0.64,0.69,0.61,0.61,0.66,0.26,0.53,0.71,0.68,0.84,0.87,0.63,0.61,0.49,0.63,0.54,0.29,0.27,0.2,0.19,0.49,0.62,RM,MID,4
Gustavo Caballero,RM,Paraguay,0.64,0.74,0.56,0.55,0.68,0.28,0.58,0.73,0.75,0.76,0.65,0.65,0.55,0.66,0.63,0.64,0.24,0.29,0.33,0.18,0.47,0.63,RM,MID,4
Catriel Cabellos,CM,Peru,0.64,0.67,0.56,0.63,0.65,0.54,0.53,0.69,0.65,0.72,0.7,0.65,0.68,0.44,0.65,0.43,0.61,0.57,0.49,0.56,0.44,0.55,CM,MID,6
Kévin Cabral,LM,France,0.64,0.85,0.58,0.56,0.66,0.45,0.57,0.84,0.85,0.76,0.59,0.63,0.56,0.63,0.62,0.72,0.45,0.39,0.45,0.43,0.53,0.6,LM,MID,4
Jefferson Caicedo,LM,Ecuador,0.64,0.75,0.56,0.6,0.63,0.23,0.52,0.77,0.73,0.63,0.58,0.63,0.63,0.64,0.34,0.6,0.23,0.21,0.19,0.22,0.37,0.42,LM,MID,3
Álex Calatrava,RM,Spain,0.64,0.73,0.59,0.6,0.68,0.33,0.49,0.74,0.73,0.81,0.74,0.66,0.58,0.44,0.64,0.49,0.34,0.33,0.36,0.21,0.45,0.6,RM,MID,4
Calavera,CM,Spain,0.64,0.64,0.57,0.6,0.64,0.64,0.68,0.63,0.64,0.61,0.68,0.66,0.59,0.65,0.69,0.68,0.66,0.64,0.64,0.63,0.62,0.64,CM,MID,0
Drissa Camara,RM,Côte d'Ivoire,0.64,0.65,0.57,0.63,0.65,0.54,0.58,0.65,0.65,0.62,0.64,0.65,0.58,0.57,0.62,0.56,0.56,0.57,0.53,0.55,0.49,0.63,RM,MID,2
Cole Campbell,RM,United States,0.64,0.73,0.57,0.59,0.69,0.26,0.39,0.78,0.68,0.83,0.77,0.66,0.57,0.36,0.52,0.45,0.21,0.29,0.25,0.27,0.4,0.58,RM,MID,4
Andy Cannon,CM,England,0.64,0.7,0.57,0.62,0.66,0.61,0.66,0.75,0.66,0.82,0.79,0.65,0.65,0.61,0.71,0.67,0.64,0.61,0.59,0.61,0.54,0.58,CM,MID,6
Marko Capan,CM,Croatia,0.64,0.59,0.44,0.69,0.63,0.5,0.6,0.61,0.58,0.59,0.67,0.67,0.54,0.62,0.65,0.53,0.51,0.49,0.53,0.5,0.42,0.54,CM,MID,2
Frederik Carlsen,CM,Denmark,0.64,0.72,0.61,0.62,0.67,0.57,0.66,0.68,0.75,0.63,0.61,0.69,0.63,0.69,0.68,0.71,0.6,0.56,0.58,0.5,0.62,0.66,CM,MID,6
Wikelman Carmona,RM,Venezuela,0.64,0.8,0.57,0.57,0.69,0.39,0.58,0.82,0.78,0.78,0.8,0.67,0.49,0.59,0.61,0.59,0.34,0.31,0.47,0.38,0.36,0.62,RM,MID,4
Santiago Castañeda,CM,United States,0.64,0.7,0.46,0.6,0.65,0.65,0.6,0.72,0.69,0.68,0.6,0.64,0.66,0.6,0.61,0.71,0.62,0.58,0.69,0.68,0.61,0.53,CM,MID,6
Marco Jair Castillo,RM,Ecuador,0.64,0.79,0.33,0.57,0.63,0.55,0.65,0.8,0.78,0.73,0.41,0.63,0.52,0.66,0.7,0.68,0.57,0.54,0.56,0.54,0.48,0.21,RM,MID,2
Luis Armando Castro,CM,Ecuador,0.64,0.59,0.53,0.66,0.65,0.62,0.6,0.62,0.57,0.52,0.65,0.65,0.63,0.62,0.55,0.58,0.64,0.65,0.67,0.59,0.47,0.67,CM,MID,0
Tomás Castro Ponce,CAM,Argentina,0.64,0.67,0.58,0.62,0.66,0.5,0.65,0.68,0.66,0.71,0.67,0.68,0.59,0.7,0.63,0.65,0.55,0.5,0.47,0.45,0.51,0.67,CAM,MID,6
Bruno Jordão,CM,Portugal,0.64,0.65,0.56,0.63,0.68,0.52,0.61,0.67,0.64,0.69,0.68,0.68,0.64,0.62,0.58,0.66,0.56,0.48,0.45,0.55,0.58,0.63,CM,MID,6
Jurgen Çelhaka,CM,Albania,0.64,0.64,0.51,0.63,0.63,0.59,0.66,0.64,0.64,0.64,0.63,0.67,0.6,0.61,0.8,0.57,0.61,0.6,0.59,0.6,0.45,0.59,CM,MID,6
Felipe Chamorro,CAM,Chile,0.64,0.67,0.57,0.62,0.66,0.37,0.61,0.67,0.67,0.67,0.7,0.68,0.56,0.6,0.71,0.55,0.43,0.41,0.34,0.28,0.43,0.63,CAM,MID,4
Chi Zhongguo,CM,China PR,0.64,0.72,0.56,0.62,0.62,0.63,0.66,0.69,0.74,0.74,0.77,0.62,0.61,0.58,0.86,0.66,0.65,0.6,0.62,0.63,0.6,0.65,CM,MID,6
Alphadjo Cissè,CAM,Italy,0.64,0.77,0.59,0.62,0.67,0.46,0.51,0.81,0.73,0.84,0.82,0.64,0.56,0.53,0.54,0.57,0.45,0.41,0.5,0.43,0.43,0.61,CAM,MID,4
Tim Civeja,CM,Albania,0.64,0.65,0.57,0.63,0.66,0.58,0.65,0.66,0.65,0.68,0.69,0.68,0.62,0.63,0.72,0.66,0.58,0.46,0.59,0.61,0.59,0.61,CM,MID,6
Rezan Corlu,CAM,Denmark,0.64,0.78,0.6,0.61,0.67,0.27,0.57,0.8,0.76,0.82,0.89,0.65,0.62,0.57,0.58,0.58,0.28,0.3,0.25,0.23,0.37,0.6,CAM,MID,4
Jordan Cousins,CDM,Jamaica,0.64,0.69,0.5,0.57,0.63,0.6,0.68,0.68,0.7,0.76,0.74,0.63,0.65,0.67,0.7,0.65,0.61,0.59,0.61,0.6,0.53,0.64,CDM,MID,6
Michael Craig,CDM,Scotland,0.64,0.59,0.37,0.55,0.62,0.61,0.63,0.57,0.6,0.59,0.74,0.63,0.6,0.57,0.72,0.54,0.61,0.6,0.63,0.66,0.49,0.5,CDM,MID,2
Ronan Curtis,LM,Republic of Ireland,0.64,0.74,0.64,0.58,0.64,0.48,0.73,0.73,0.75,0.75,0.62,0.64,0.56,0.68,0.76,0.7,0.5,0.47,0.4,0.52,0.55,0.7,LM,MID,6
Pierre Da Silva,LM,United States,0.64,0.7,0.5,0.62,0.65,0.35,0.59,0.72,0.68,0.77,0.73,0.62,0.66,0.58,0.64,0.6,0.3,0.35,0.3,0.44,0.48,0.59,LM,MID,4
Jasper Dahlhaus,LM,Holland,0.64,0.73,0.58,0.57,0.66,0.31,0.54,0.72,0.74,0.63,0.73,0.69,0.61,0.57,0.65,0.55,0.39,0.3,0.23,0.27,0.42,0.67,LM,MID,4
Muhammed Damar,CAM,Germany,0.64,0.64,0.6,0.63,0.68,0.38,0.54,0.6,0.68,0.63,0.67,0.68,0.59,0.58,0.5,0.55,0.36,0.37,0.4,0.31,0.48,0.62,CAM,MID,4
Nicolás Dávila,CM,Ecuador,0.64,0.64,0.51,0.58,0.66,0.61,0.57,0.64,0.64,0.62,0.78,0.65,0.65,0.55,0.6,0.54,0.62,0.54,0.65,0.65,0.46,0.53,CM,MID,2
Yann-Erik de Lanlay,CM,Norway,0.64,0.82,0.6,0.63,0.66,0.59,0.65,0.8,0.84,0.77,0.74,0.66,0.61,0.61,0.76,0.61,0.61,0.6,0.61,0.63,0.41,0.68,CM,MID,6
Patrickson Delgado,CM,Ecuador,0.64,0.59,0.54,0.56,0.64,0.62,0.63,0.56,0.62,0.53,0.74,0.66,0.64,0.6,0.75,0.55,0.65,0.6,0.62,0.66,0.48,0.52,CM,MID,2
Mamadou Diakhon,RM,France,0.64,0.75,0.59,0.57,0.68,0.32,0.48,0.77,0.74,0.75,0.74,0.65,0.63,0.47,0.49,0.56,0.33,0.3,0.32,0.22,0.49,0.65,RM,MID,4
Finn Jesper Dicke,CDM,Holland,0.64,0.6,0.47,0.58,0.59,0.65,0.63,0.61,0.59,0.54,0.61,0.61,0.58,0.61,0.63,0.63,0.66,0.64,0.68,0.62,0.56,0.41,CDM,MID,2
Paul Digby,CDM,England,0.64,0.42,0.52,0.58,0.56,0.62,0.79,0.45,0.4,0.37,0.52,0.6,0.62,0.84,0.81,0.72,0.63,0.61,0.6,0.61,0.64,0.58,CDM,MID,0
Noah Diliberto,CM,France,0.64,0.67,0.47,0.65,0.68,0.52,0.53,0.68,0.67,0.8,0.76,0.67,0.62,0.48,0.62,0.54,0.55,0.6,0.45,0.55,0.53,0.53,CM,MID,6
Mouhamed Diop,CM,Senegal,0.64,0.69,0.54,0.58,0.66,0.52,0.6,0.7,0.68,0.64,0.56,0.68,0.66,0.57,0.67,0.6,0.53,0.51,0.51,0.55,0.51,0.52,CM,MID,6
Elijah Dixon-Bonner,CM,England,0.64,0.6,0.54,0.62,0.66,0.58,0.6,0.62,0.59,0.74,0.79,0.66,0.6,0.57,0.63,0.55,0.61,0.58,0.56,0.6,0.47,0.56,CM,MID,6
Kyliane Dong,RM,France,0.64,0.71,0.61,0.56,0.68,0.23,0.46,0.75,0.68,0.73,0.66,0.66,0.64,0.45,0.57,0.56,0.17,0.23,0.19,0.23,0.51,0.62,RM,MID,4
Jamie Donley,CAM,England,0.64,0.66,0.6,0.6,0.64,0.35,0.54,0.68,0.65,0.71,0.68,0.64,0.6,0.6,0.54,0.63,0.35,0.29,0.36,0.28,0.54,0.59,CAM,MID,4
Liam Donnelly,CM,Northern Ireland,0.64,0.59,0.65,0.6,0.64,0.64,0.69,0.66,0.53,0.65,0.68,0.66,0.62,0.68,0.68,0.71,0.66,0.65,0.62,0.61,0.64,0.66,CM,MID,0
Moyita,CAM,Spain,0.64,0.72,0.63,0.61,0.66,0.45,0.55,0.74,0.71,0.7,0.76,0.64,0.59,0.57,0.68,0.54,0.5,0.44,0.42,0.46,0.36,0.64,CAM,MID,4
Lucian Dumitriu,CM,Romania,0.64,0.72,0.61,0.63,0.64,0.55,0.68,0.7,0.74,0.76,0.68,0.61,0.64,0.68,0.76,0.68,0.59,0.55,0.55,0.49,0.57,0.73,CM,MID,6
Luca Dürholtz,CM,Germany,0.64,0.64,0.53,0.61,0.67,0.59,0.62,0.65,0.63,0.74,0.76,0.67,0.67,0.54,0.75,0.62,0.59,0.55,0.61,0.58,0.6,0.61,CM,MID,6
George Earthy,CAM,England,0.64,0.67,0.58,0.61,0.67,0.38,0.47,0.67,0.67,0.73,0.78,0.66,0.59,0.44,0.58,0.42,0.4,0.38,0.4,0.31,0.42,0.55,CAM,MID,3
Michael Eberwein,CAM,Germany,0.64,0.71,0.63,0.6,0.64,0.34,0.72,0.65,0.76,0.6,0.44,0.65,0.62,0.79,0.76,0.78,0.32,0.23,0.38,0.2,0.67,0.6,CAM,MID,4
Curtis Edwards,CM,England,0.64,0.47,0.62,0.65,0.64,0.57,0.67,0.47,0.47,0.71,0.72,0.64,0.63,0.62,0.73,0.56,0.59,0.57,0.56,0.56,0.53,0.7,CM,MID,0
Malamine Efekele,RM,France,0.64,0.86,0.63,0.55,0.67,0.19,0.5,0.83,0.88,0.8,0.66,0.64,0.57,0.49,0.5,0.62,0.11,0.16,0.17,0.17,0.52,0.64,RM,MID,4
Thomas Eisfeld,CM,Germany,0.64,0.62,0.65,0.67,0.67,0.41,0.57,0.67,0.57,0.77,0.75,0.67,0.65,0.59,0.65,0.53,0.37,0.28,0.5,0.41,0.42,0.71,CM,MID,4
Xian Emmers,CM,Belgium,0.64,0.7,0.57,0.63,0.65,0.58,0.65,0.72,0.69,0.7,0.7,0.65,0.63,0.62,0.71,0.71,0.61,0.6,0.57,0.54,0.61,0.62,CM,MID,6
Ramón Enríquez,CM,Spain,0.64,0.66,0.61,0.64,0.62,0.58,0.64,0.66,0.66,0.62,0.78,0.61,0.63,0.61,0.73,0.62,0.66,0.65,0.44,0.63,0.54,0.67,CM,MID,6
Romain Esse,RM,England,0.64,0.73,0.53,0.59,0.68,0.47,0.56,0.77,0.7,0.69,0.79,0.68,0.6,0.57,0.53,0.62,0.47,0.44,0.45,0.54,0.45,0.54,RM,MID,4
Sultan Farhan,CDM,Saudi Arabia,0.64,0.63,0.42,0.51,0.57,0.61,0.78,0.6,0.65,0.65,0.72,0.6,0.54,0.77,0.8,0.68,0.62,0.62,0.6,0.64,0.51,0.61,CDM,MID,2
Costantino Favasuli,CM,Italy,0.64,0.61,0.55,0.64,0.64,0.59,0.55,0.63,0.59,0.56,0.67,0.67,0.67,0.52,0.53,0.58,0.61,0.6,0.59,0.59,0.56,0.63,CM,MID,2
Kevin Felida,CDM,Curaçao,0.64,0.64,0.48,0.57,0.61,0.61,0.67,0.63,0.65,0.69,0.74,0.61,0.58,0.66,0.69,0.63,0.63,0.62,0.6,0.63,0.54,0.55,CDM,MID,2
Lewis Fiorini,CM,Scotland,0.64,0.67,0.59,0.6,0.66,0.55,0.59,0.71,0.64,0.73,0.8,0.65,0.63,0.52,0.75,0.56,0.58,0.54,0.52,0.57,0.48,0.58,CM,MID,6
Mariusz Fornalczyk,RM,Poland,0.64,0.88,0.5,0.5,0.71,0.27,0.52,0.9,0.87,0.85,0.82,0.67,0.48,0.47,0.66,0.57,0.25,0.29,0.3,0.16,0.42,0.52,RM,MID,4
Jake Forster-Caskey,CM,England,0.64,0.62,0.6,0.65,0.65,0.57,0.63,0.67,0.57,0.76,0.74,0.64,0.64,0.65,0.59,0.63,0.59,0.58,0.57,0.59,0.5,0.64,CM,MID,6
Antonio Foti,CAM,Cyprus,0.64,0.68,0.6,0.6,0.67,0.52,0.55,0.7,0.66,0.7,0.73,0.68,0.63,0.52,0.63,0.57,0.58,0.54,0.45,0.51,0.53,0.6,CAM,MID,6
Ivan Franjic,CAM,Croatia,0.64,0.68,0.58,0.62,0.65,0.29,0.55,0.69,0.68,0.75,0.73,0.65,0.61,0.58,0.62,0.51,0.32,0.3,0.24,0.28,0.35,0.68,CAM,MID,4
Liam Fraser,CDM,Canada,0.64,0.6,0.35,0.59,0.59,0.61,0.74,0.58,0.62,0.61,0.47,0.64,0.55,0.78,0.64,0.82,0.61,0.54,0.63,0.59,0.63,0.43,CDM,MID,2
Nick Freeman,CM,England,0.64,0.71,0.57,0.62,0.66,0.54,0.59,0.72,0.7,0.72,0.7,0.64,0.64,0.6,0.7,0.61,0.59,0.48,0.5,0.58,0.45,0.62,CM,MID,6
Ethan Galbraith,CAM,Northern Ireland,0.64,0.72,0.59,0.62,0.66,0.61,0.6,0.75,0.69,0.81,0.84,0.64,0.63,0.53,0.73,0.58,0.62,0.61,0.63,0.61,0.49,0.66,CAM,MID,6
Braian Galván,RM,Argentina,0.64,0.79,0.57,0.58,0.68,0.43,0.58,0.82,0.76,0.84,0.87,0.65,0.56,0.56,0.6,0.71,0.39,0.41,0.4,0.46,0.58,0.6,RM,MID,4
Matthew Garbett,CAM,New Zealand,0.64,0.73,0.6,0.61,0.66,0.51,0.66,0.74,0.72,0.75,0.74,0.65,0.61,0.64,0.72,0.67,0.54,0.51,0.46,0.53,0.52,0.63,CAM,MID,6
Naim García,RM,Spain,0.64,0.6,0.63,0.6,0.68,0.33,0.5,0.59,0.61,0.56,0.7,0.72,0.5,0.51,0.59,0.49,0.37,0.26,0.36,0.19,0.45,0.7,RM,MID,3
Timur Gayret,CAM,Germany,0.64,0.69,0.58,0.59,0.66,0.42,0.57,0.71,0.67,0.64,0.71,0.66,0.67,0.55,0.63,0.54,0.43,0.46,0.4,0.45,0.39,0.59,CAM,MID,4
Gelardo,CM,Spain,0.64,0.64,0.56,0.63,0.64,0.51,0.55,0.64,0.64,0.66,0.59,0.69,0.58,0.57,0.63,0.51,0.56,0.4,0.52,0.53,0.41,0.58,CM,MID,2
Tyrique George,LM,England,0.64,0.81,0.62,0.58,0.68,0.32,0.52,0.82,0.8,0.85,0.81,0.66,0.52,0.5,0.6,0.55,0.35,0.25,0.3,0.3,0.38,0.71,LM,MID,4
Alberto Gerbo,CM,Italy,0.64,0.78,0.52,0.63,0.7,0.5,0.62,0.76,0.79,0.82,0.78,0.66,0.6,0.54,0.75,0.56,0.58,0.59,0.32,0.65,0.44,0.67,CM,MID,6
Ion Gheorghe,LM,Romania,0.64,0.84,0.58,0.6,0.64,0.44,0.6,0.87,0.81,0.83,0.8,0.61,0.54,0.53,0.76,0.57,0.47,0.41,0.46,0.43,0.35,0.64,LM,MID,4
Fernando Godoy,CM,Argentina,0.64,0.58,0.55,0.62,0.63,0.64,0.68,0.5,0.64,0.63,0.72,0.68,0.63,0.63,0.7,0.69,0.65,0.64,0.63,0.65,0.59,0.67,CM,MID,0
Luka Gojković,CAM,Serbia,0.64,0.69,0.56,0.64,0.66,0.33,0.54,0.68,0.7,0.73,0.74,0.65,0.57,0.57,0.61,0.52,0.32,0.31,0.35,0.29,0.39,0.55,CAM,MID,4
David Tavares,CM,Cape Verde Islands,0.64,0.72,0.56,0.59,0.67,0.59,0.74,0.75,0.7,0.68,0.74,0.67,0.7,0.77,0.68,0.71,0.62,0.64,0.56,0.6,0.47,0.74,CM,MID,6
Erick Gonzáles,CDM,Peru,0.64,0.59,0.32,0.56,0.52,0.59,0.69,0.59,0.59,0.51,0.49,0.61,0.58,0.72,0.7,0.57,0.63,0.61,0.58,0.61,0.42,0.48,CDM,MID,2
Brian González,RM,Uruguay,0.64,0.75,0.61,0.61,0.65,0.37,0.57,0.75,0.75,0.78,0.72,0.65,0.57,0.54,0.58,0.49,0.32,0.24,0.46,0.41,0.28,0.64,RM,MID,4
David González,CM,Argentina,0.64,0.64,0.54,0.65,0.67,0.48,0.51,0.63,0.64,0.64,0.79,0.68,0.54,0.46,0.6,0.49,0.56,0.47,0.43,0.45,0.49,0.6,CM,MID,2
Nono,CM,Spain,0.64,0.79,0.67,0.66,0.68,0.41,0.59,0.81,0.77,0.91,0.89,0.66,0.66,0.55,0.72,0.74,0.32,0.27,0.4,0.52,0.65,0.75,CM,MID,1
Saulo Guerra,RM,Bolivia,0.64,0.68,0.56,0.62,0.63,0.59,0.59,0.68,0.68,0.63,0.7,0.63,0.55,0.55,0.72,0.52,0.63,0.59,0.58,0.6,0.44,0.55,RM,MID,6
Matthew Guillaumier,CDM,Malta,0.64,0.67,0.59,0.64,0.64,0.6,0.67,0.66,0.67,0.63,0.76,0.63,0.57,0.65,0.8,0.71,0.63,0.55,0.57,0.58,0.68,0.65,CDM,MID,6
Callum Guy,CDM,England,0.64,0.66,0.54,0.63,0.62,0.6,0.68,0.66,0.66,0.77,0.71,0.62,0.6,0.65,0.88,0.63,0.61,0.59,0.6,0.64,0.52,0.58,CDM,MID,6
Ajdin Hasić,RM,Bosnia and Herzegovina,0.64,0.78,0.59,0.61,0.72,0.38,0.41,0.79,0.77,0.9,0.74,0.68,0.52,0.42,0.32,0.51,0.37,0.36,0.46,0.25,0.45,0.68,RM,MID,4
Jessé Hautier,RM,Switzerland,0.64,0.6,0.54,0.6,0.65,0.3,0.55,0.6,0.6,0.62,0.72,0.64,0.61,0.5,0.72,0.57,0.24,0.2,0.33,0.26,0.58,0.49,RM,MID,3
Mark Helm,CAM,England,0.64,0.7,0.6,0.61,0.66,0.5,0.57,0.7,0.7,0.73,0.77,0.64,0.62,0.56,0.62,0.52,0.56,0.54,0.48,0.46,0.4,0.61,CAM,MID,6
José Manuel Hernández,RM,Venezuela,0.64,0.71,0.62,0.61,0.65,0.38,0.59,0.71,0.71,0.7,0.6,0.65,0.55,0.6,0.59,0.67,0.25,0.23,0.44,0.45,0.55,0.67,RM,MID,4
Simen Hestnes,CM,Norway,0.64,0.72,0.52,0.62,0.64,0.54,0.68,0.71,0.72,0.66,0.64,0.64,0.61,0.61,0.89,0.62,0.56,0.56,0.5,0.61,0.48,0.55,CM,MID,6
Joe Hodge,CDM,Republic of Ireland,0.64,0.66,0.53,0.61,0.65,0.59,0.6,0.7,0.62,0.73,0.79,0.65,0.62,0.54,0.64,0.55,0.61,0.6,0.6,0.61,0.48,0.57,CDM,MID,6
Raphael Hofer,CM,Austria,0.64,0.55,0.59,0.67,0.64,0.59,0.68,0.54,0.55,0.66,0.67,0.66,0.62,0.68,0.71,0.59,0.6,0.62,0.62,0.58,0.5,0.71,CM,MID,0
